BALANCE_DATE,BALANCE,AMOUNT_USD,POOL_NAME,SYMBOL,USER_ADDRESS
2021-08-06T00:00:00Z,9334139.23663092,9343685.810827821,DAI-USDT 500 10 UNI-V3 LP,DAI,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-06T00:00:00Z,4856376.781523,4857802.473890551,DAI-USDT 500 10 UNI-V3 LP,USDT,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-10T00:00:00Z,70165279.7559178,70209861.01280873,DAI-USDC 500 10 UNI-V3 LP,DAI,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-10T00:00:00Z,44506571.606672,44504365.041310586,DAI-USDC 500 10 UNI-V3 LP,USDC,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-13T00:00:00Z,84946565.661518,84946170.80800864,USDC-USDT 500 10 UNI-V3 LP,USDC,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-13T00:00:00Z,42644667.264499,42665006.49912958,USDC-USDT 500 10 UNI-V3 LP,USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-16T00:00:00Z,65279835.3816878,65334467.00280953,DAI-USDC 500 10 UNI-V3 LP,DAI,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-16T00:00:00Z,45731599.262577,45727407.445371,DAI-USDC 500 10 UNI-V3 LP,USDC,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-18T00:00:00Z,13412.334799,13414.52975017387,USDC-USDT 10000 200 UNI-V3 LP,USDC,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-18T00:00:00Z,19762.791071,19769.577437100306,USDC-USDT 10000 200 UNI-V3 LP,USDT,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-20T00:00:00Z,13412.334799,13411.064062026542,USDC-USDT 10000 200 UNI-V3 LP,USDC,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-20T00:00:00Z,19762.791071,19763.208790917604,USDC-USDT 10000 200 UNI-V3 LP,USDT,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-23T00:00:00Z,9,9.009906042010645,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-23T00:00:00Z,0.000002,0.0000020013137366391224,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-26T00:00:00Z,9,9.00507951642607,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-26T00:00:00Z,0.000002,0.000002000692899268363,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-26T00:00:00Z,9589.81336426726,9595.22576587912,DAI-USDC 3000 60 UNI-V3 LP,DAI,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5
2021-08-26T00:00:00Z,5588.97108,5590.133903424625,DAI-USDC 3000 60 UNI-V3 LP,USDC,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5
2021-08-30T00:00:00Z,4836.778424,4838.269232529821,USDC-USDT 3000 60 UNI-V3 LP,USDC,0xee4cf3b78a74affa38c6a926282bcd8b5952818d
2021-08-30T00:00:00Z,13650.395855,13661.851897436522,USDC-USDT 3000 60 UNI-V3 LP,USDT,0xee4cf3b78a74affa38c6a926282bcd8b5952818d
2021-08-17T00:00:00Z,81224459.871961,81231658.6070856,USDC-USDT 500 10 UNI-V3 LP,USDC,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-17T00:00:00Z,47997350.014538,48013199.13201788,USDC-USDT 500 10 UNI-V3 LP,USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-28T00:00:00Z,9,9.007846343471126,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-28T00:00:00Z,0.000002,0.0000020011717137476135,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-02T00:00:00Z,9589.79136426726,9602.445954827586,DAI-USDC 3000 60 UNI-V3 LP,DAI,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5
2021-08-02T00:00:00Z,5588.993017,5590.623880719714,DAI-USDC 3000 60 UNI-V3 LP,USDC,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5
2021-08-29T00:00:00Z,11686912.7013791,11692980.352347514,DAI-USDT 500 10 UNI-V3 LP,DAI,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-29T00:00:00Z,11156233.222939,11165603.700736167,DAI-USDT 500 10 UNI-V3 LP,USDT,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-03T00:00:00Z,9,9.01175426070848,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-03T00:00:00Z,0.000002,0.000002000858234122703,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-27T00:00:00Z,47470853.109633,47508934.438676044,DAI-USDC 500 10 UNI-V3 LP,DAI,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-27T00:00:00Z,44960877.20698,44972688.1547569,DAI-USDC 500 10 UNI-V3 LP,USDC,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-11T00:00:00Z,9,9.007070241238194,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-11T00:00:00Z,0.000002,0.0000020006606057969757,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-28T00:00:00Z,11801527.296467,11811816.056094995,DAI-USDT 500 10 UNI-V3 LP,DAI,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-28T00:00:00Z,11947042.186884,11954041.443670847,DAI-USDT 500 10 UNI-V3 LP,USDT,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-09T00:00:00Z,52.0580510254736,52.1084193934932,DAI-USDC 10000 200 UNI-V3 LP,DAI,0x6958686b6348c3d6d5f2dca3106a5c09c156873a
2021-08-09T00:00:00Z,31.270882,31.26094985652575,DAI-USDC 10000 200 UNI-V3 LP,USDC,0x6958686b6348c3d6d5f2dca3106a5c09c156873a
2021-08-06T00:00:00Z,9,9.009204830310965,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-06T00:00:00Z,0.000002,0.000002000587142403355,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-08T00:00:00Z,9,9.005920815244712,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-08T00:00:00Z,0.000002,0.0000020005041745127495,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-05T00:00:00Z,67528235.949271,67543626.28236817,USDC-USDT 500 10 UNI-V3 LP,USDC,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-05T00:00:00Z,61519660.011411,61539275.56319185,USDC-USDT 500 10 UNI-V3 LP,USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-11T00:00:00Z,85407737.533638,85398274.1828472,USDC-USDT 500 10 UNI-V3 LP,USDC,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-11T00:00:00Z,42907086.006026,42921258.34089947,USDC-USDT 500 10 UNI-V3 LP,USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-15T00:00:00Z,9,9.008245100348947,DAI-USDT 3000 60 UNI-V3 LP,DAI,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-15T00:00:00Z,0.000002,0.000002001482134770145,DAI-USDT 3000 60 UNI-V3 LP,USDT,0x4773e2c1c0b400a16dfec4ca6e305141859a5542
2021-08-17T00:00:00Z,60296984.0034956,60340053.643454246,DAI-USDC 500 10 UNI-V3 LP,DAI,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-17T00:00:00Z,46582464.031269,46586592.52680521,DAI-USDC 500 10 UNI-V3 LP,USDC,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-15T00:00:00Z,4228.098514,4228.535477006299,USDC-USDT 3000 60 UNI-V3 LP,USDC,0xee4cf3b78a74affa38c6a926282bcd8b5952818d
2021-08-15T00:00:00Z,14257.337402,14267.903049746596,USDC-USDT 3000 60 UNI-V3 LP,USDT,0xee4cf3b78a74affa38c6a926282bcd8b5952818d
2021-08-17T00:00:00Z,6038923.13107667,6043236.684221855,DAI-USDT 500 10 UNI-V3 LP,DAI,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-17T00:00:00Z,7941549.050267,7944171.414706532,DAI-USDT 500 10 UNI-V3 LP,USDT,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-15T00:00:00Z,9589.81336426726,9598.598805769045,DAI-USDC 3000 60 UNI-V3 LP,DAI,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5
2021-08-15T00:00:00Z,5588.971079,5589.548684653394,DAI-USDC 3000 60 UNI-V3 LP,USDC,0xa63b490aa077f541c9d64bfc1cc0db2a752157b5
2021-08-19T00:00:00Z,6738048.21005076,6744246.35135634,DAI-USDT 500 10 UNI-V3 LP,DAI,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-19T00:00:00Z,10409443.681081,10412049.767221713,DAI-USDT 500 10 UNI-V3 LP,USDT,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77
2021-08-19T00:00:00Z,13412.334799,13414.268871630053,USDC-USDT 10000 200 UNI-V3 LP,USDC,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-19T00:00:00Z,19762.791071,19767.73884126418,USDC-USDT 10000 200 UNI-V3 LP,USDT,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-25T00:00:00Z,52.0580510254736,52.101051033855285,DAI-USDC 10000 200 UNI-V3 LP,DAI,0x6958686b6348c3d6d5f2dca3106a5c09c156873a
2021-08-25T00:00:00Z,31.270882,31.275740253846525,DAI-USDC 10000 200 UNI-V3 LP,USDC,0x6958686b6348c3d6d5f2dca3106a5c09c156873a
2021-08-19T00:00:00Z,46692869.1912556,46735820.650222406,DAI-USDC 500 10 UNI-V3 LP,DAI,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-19T00:00:00Z,55996931.824896,56005006.64071536,DAI-USDC 500 10 UNI-V3 LP,USDC,0x6c6bc977e13df9b0de53b251522280bb72383700
2021-08-30T00:00:00Z,13412.334799,13416.468795096236,USDC-USDT 10000 200 UNI-V3 LP,USDC,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-30T00:00:00Z,19762.791071,19779.376917709385,USDC-USDT 10000 200 UNI-V3 LP,USDT,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-02T00:00:00Z,11320.590151,11323.893490207414,USDC-USDT 10000 200 UNI-V3 LP,USDC,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-02T00:00:00Z,21791.233803,21801.298723133288,USDC-USDT 10000 200 UNI-V3 LP,USDT,0xbb256c2f1b677e27118b0345fd2b3894d2e6d487
2021-08-30T00:00:00Z,87497242.392879,87524211.09474218,USDC-USDT 500 10 UNI-V3 LP,USDC,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-30T00:00:00Z,51193076.687279,51236040.28080517,USDC-USDT 500 10 UNI-V3 LP,USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
2021-08-10T00:00:00Z,83915842.858902,83911682.44426116,USDC-USDT 500 10 UNI-V3 LP,USDC,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf
